Date,Month,Year,Price,Open,High,Low,Vol.,Change %
"Apr 02, 2020",April,2020,158.19,159.1,161.35,155.92,20.89M,-0.88%
"Apr 01, 2020",April,2020,159.6,161.62,164.15,158.03,19.51M,-4.32%
"Mar 31, 2020",March,2020,166.8,165.48,170.93,164.2,23.68M,0.51%
"Mar 30, 2020",March,2020,165.95,159.18,166.75,158.06,22.52M,5.84%
"Mar 27, 2020",March,2020,156.79,158.2,160.09,154.75,24.88M,-4.01%
"Mar 26, 2020",March,2020,163.34,158.25,164,157.02,26.58M,4.56%
"Mar 25, 2020",March,2020,156.21,158.92,162.99,153.06,35.18M,-2.96%
"Mar 24, 2020",March,2020,160.98,155.21,161.31,152.57,30.44M,8.70%
"Mar 23, 2020",March,2020,148.1,149.66,152.31,142.25,29.83M,-1.09%
"Mar 20, 2020",March,2020,149.73,156.02,159.27,148,32.57M,-2.22%
"Mar 19, 2020",March,2020,153.13,146.62,159.93,144.8,39.86M,4.20%
"Mar 18, 2020",March,2020,146.96,139.75,148.18,137.1,37.55M,-1.65%
"Mar 17, 2020",March,2020,149.42,150.74,153.94,140,34.26M,2.34%
"Mar 16, 2020",March,2020,146.01,152.32,159.13,143.1,39.12M,-14.25%
"Mar 13, 2020",March,2020,170.28,163.53,170.79,157.6,35.03M,10.23%
"Mar 12, 2020",March,2020,154.47,159.54,166.6,154.34,43.27M,-9.26%
"Mar 11, 2020",March,2020,170.24,174.01,175.88,167.66,20.40M,-4.46%
"Mar 10, 2020",March,2020,178.19,174.67,178.29,169.5,24.52M,5.13%
