"Date","Price","Open","High","Low","Change %"
"May 01, 2020","6.0226","6.0121","6.0465","6.0001","0.21%"
"Apr 30, 2020","6.0097","5.8014","6.0127","5.7902","3.61%"
"Apr 29, 2020","5.8005","5.9531","6.0020","5.8010","-2.51%"
"Apr 28, 2020","5.9498","6.1233","6.1572","5.9289","-2.79%"
"Apr 27, 2020","6.1206","6.0436","6.2021","6.0089","1.18%"
"Apr 24, 2020","6.0491","5.9658","6.2046","5.9359","1.45%"
"Apr 23, 2020","5.9629","5.9077","5.9860","5.8262","0.95%"
"Apr 22, 2020","5.9066","5.7724","5.9132","5.7654","2.34%"
"Apr 21, 2020","5.7714","5.7758","5.7856","5.7505","-0.06%"
"Apr 20, 2020","5.7751","5.6953","5.7788","5.6775","1.44%"
"Apr 17, 2020","5.6929","5.6706","5.7453","5.6471","0.40%"
"Apr 16, 2020","5.6703","5.7154","5.7282","5.6634","-0.72%"
"Apr 15, 2020","5.7117","5.6701","5.7448","5.6296","0.78%"
"Apr 14, 2020","5.6675","5.6765","5.7186","5.6445","-0.11%"
"Apr 13, 2020","5.6736","5.5873","5.6857","5.5682","1.62%"
"Apr 10, 2020","5.5832","5.5822","5.5938","5.5764","0.05%"
"Apr 09, 2020","5.5804","5.5631","5.6032","5.5156","0.33%"
"Apr 08, 2020","5.5619","5.6883","5.7130","5.5468","-2.18%"
"Apr 07, 2020","5.6856","5.7006","5.7588","5.6361","-0.33%"
"Apr 06, 2020","5.7044","5.7852","5.7969","5.6414","-1.36%"
"Apr 03, 2020","5.7829","5.7043","5.7895","5.6684","1.33%"
"Apr 02, 2020","5.7070","5.7554","5.7585","5.6902","-0.81%"
"Apr 01, 2020","5.7537","5.7421","5.7779","5.6829","0.24%"
"Mar 31, 2020","5.7402","5.7379","5.7533","5.6638","0.04%"
"Mar 30, 2020","5.7379","5.6802","5.7406","5.6335","1.00%"
"Mar 27, 2020","5.6811","5.5409","5.7013","5.5210","2.57%"
"Mar 26, 2020","5.5388","5.4808","5.5542","5.4535","1.11%"
"Mar 25, 2020","5.4779","5.5018","5.5337","5.4008","-0.39%"
"Mar 24, 2020","5.4995","5.5179","5.6004","5.4475","-0.29%"
"Mar 23, 2020","5.5153","5.4165","5.5485","5.3863","1.87%"
"Mar 20, 2020","5.4141","5.4486","5.5199","5.3126","-0.61%"
"Mar 19, 2020","5.4473","5.5747","5.6283","5.4166","-2.25%"
"Mar 18, 2020","5.5726","5.5099","5.7200","5.4897","1.19%"
"Mar 17, 2020","5.5072","5.5918","5.5956","5.4509","-1.49%"
"Mar 16, 2020","5.5907","5.3868","5.6597","5.3677","3.63%"
"Mar 13, 2020","5.3948","5.3594","5.4042","5.1571","0.69%"
"Mar 12, 2020","5.3578","5.4262","5.6606","5.3149","-1.21%"
